Sprint (Milestone),Data Vencimento,Qt (Planejado),Qf (Fechadas),Tc (Taxa de Conclusão %),Issues Fechadas (Nº),Título Issue,Data Fechamento
Planejamento,2025-07-10,5,5,100.00,23,Projeto da Avaliação – Fase 3: Compreensibilidade,2025-07-12
Planejamento,2025-07-10,5,5,100.00,4,Criar Objetivo de Medição,2025-07-11
Planejamento,2025-07-10,5,5,100.00,3,Adição da página de Visão Geral,2025-07-10
Planejamento,2025-07-10,5,5,100.00,2,Automatizar Deploy da Documentação (MkDocs) no GitHub Pages,2025-07-10
Planejamento,2025-07-10,5,5,100.00,1,Implementar Estrutura de Documentação com MkDocs,2025-07-10
Ponto de Controle 1,2025-07-12,14,13,92.86,27,Panorama Geral da Gerência,2025-07-12
Ponto de Controle 1,2025-07-12,14,13,92.86,24,Entrega da fase 3,2025-07-12
Ponto de Controle 1,2025-07-12,14,13,92.86,22,Entrega da Fase 2,2025-07-12
Ponto de Controle 1,2025-07-12,14,13,92.86,19,Planejamento de Processo de medição,2025-07-13
Ponto de Controle 1,2025-07-12,14,13,92.86,18,Estabelecimento e comprometimento com a medição  de processo,2025-07-12
Ponto de Controle 1,2025-07-12,14,13,92.86,17,Referencial Teórico,2025-07-12
Ponto de Controle 1,2025-07-12,14,13,92.86,16,Estruturação da página principal da Gerência de Processo,2025-07-12
Ponto de Controle 1,2025-07-12,14,13,92.86,13,Verificação do artefato da Fase 1.,2025-07-12
Ponto de Controle 1,2025-07-12,14,13,92.86,9,Estabelecer os requisitos de avaliação,2025-07-11
Ponto de Controle 1,2025-07-12,14,13,92.86,8,Definir Metas para as Métricas,2025-07-11
Ponto de Controle 1,2025-07-12,14,13,92.86,7,Formular Hipóteses para cada Questão,2025-07-11
Ponto de Controle 1,2025-07-12,14,13,92.86,6,Formular Questões da Avaliação,2025-07-11
Ponto de Controle 1,2025-07-12,14,13,92.86,5,Criar Abstraction Sheet,2025-07-12
Entrega Final,2025-07-14,4,2,50.00,26,Executar ação de melhoria no projeto,2025-07-13
Entrega Final,2025-07-14,4,2,50.00,25,Identificar oportunidades de melhoria a partir da avaliação,2025-07-13
